variable,posterior mean
u_m1,0.601315679
u_m1,0.505892728
u_m1,0.573713526
u_m1,0.729607497
u_m1,0.414489296
u_m1,0.526711236
u_m1,0.503916733
u_m1,0.61566891
u_m1,0.752846831
u_m1,0.878414818
u_m1,0.464989178
u_m1,0.479608935
u_m1,0.527138592
u_m1,0.425108787
u_m1,0.588447752
u_m1,0.513450673
u_m1,0.521146912
u_m1,0.749597375
u_m1,0.501603378
u_m1,0.42984708
u_m1,0.347709492
u_m1,0.536322996
u_m1,0.496964551
u_m1,0.543469307
u_m1,0.698876856
u_m1,0.814301247
u_m1,0.532270921
u_m1,0.740332959
u_m1,0.695322359
u_m1,0.523363519
u_m1,0.53435997
u_m1,0.49275352
u_m1,0.500348871
u_m1,0.700128439
u_m1,0.535901233
u_m1,0.402809753
u_m1,0.71587196
u_m1,0.736074378
u_m1,0.60004152
u_m1,0.350404242
u_m1,0.627613844
u_m1,0.692789582
u_m1,0.73502794
u_m1,0.761194005
u_m1,0.425009203
u_m1,0.578206817
u_m1,0.767124699
u_m1,0.75637252
u_m1,0.199236331
u_m1,0.45511747
u_m1,0.531170203
u_m1,0.416089748
u_m1,0.736894584
u_m1,0.769805702
u_m1,0.400264172
u_m1,0.548888461
u_m1,0.768806453
u_m1,0.602222857
u_m1,0.516855176
u_m1,0.498219783
u_m1,0.52121774
u_m1,0.847845216
u_m1,0.582838524
u_m1,0.555415885
u_m1,0.436426705
u_m1,0.495556553
u_m1,0.50354425
u_m1,0.752552947
u_m1,0.499775425
u_m1,0.527623949
u_m1,0.538423191
u_m1,0.577390766
u_m1,0.553222276
u_m1,0.383381519
u_m1,0.677117521
u_m1,0.452359246
u_m1,0.563609119
u_m1,0.344248141
u_m1,0.61257545
u_m1,0.651694945
u_m1,0.498690284
u_m1,0.235902917
u_m1,0.634276663
u_m1,0.735646702
u_m1,0.548623666
u_m1,0.501107363
u_m1,0.508321258
u_m1,0.429762021
u_m1,0.50142333
u_m1,0.373695515
u_m1,0.451896671
u_m1,0.312155743
u_m1,0.738488449
u_m1,0.50318615
u_m1,0.4994349
u_m1,0.670210009
u_m1,0.453755517
u_m1,0.559897392
u_m1,0.706008123
u_m1,0.600197794
u_m1,0.597503347
u_m1,0.544227719
u_m1,0.478611963
u_m1,0.666256197
u_m1,0.524704532
u_m1,0.611956607
u_m1,0.409142834
u_m1,0.567677111
u_m1,0.732915782
u_m1,0.519856251
u_m1,0.505739579
u_m1,0.503315073
u_m1,0.552246063
u_m1,0.503046857
u_m1,0.653103445
u_m1,0.405924477
u_m1,0.512158906
u_m1,0.746501156
u_m1,0.709113537
u_m1,0.50436962
u_m1,0.04816821
u_m1,0.538910211
u_m1,0.537032183
u_m1,0.504554109
u_m1,0.499873615
u_m1,0.50227339
u_m1,0.4978841
u_m1,0.765892103
u_m1,0.500771393
u_m1,0.580139169
u_m1,0.559501374
u_m1,0.332255579
u_m1,0.590967959
u_m1,0.69367842
u_m1,0.342604699
u_m1,0.501213255
u_m1,0.33138928
u_m1,0.501604563
u_m1,0.51604292
u_m1,0.533549638
u_m1,0.633671748
u_m1,0.384763875
u_m1,0.50114902
u_m1,0.463406583
u_m1,0.572389036
u_m1,0.499568501
u_m1,0.596439045
u_m1,0.415564991
u_m1,0.614178549
u_m1,0.483406769
u_m1,0.538525542
u_m1,0.525540375
u_m1,0.337340203
u_m1,0.458735918
u_m1,0.500785713
u_m1,0.584392461
u_m1,0.723529492
u_m1,0.385894298
u_m1,0.50154656
u_m1,0.539791136
u_m1,0.498889096
u_m1,0.525254324
u_m1,0.619483779
u_m1,0.564119273
u_m1,0.557820141
u_m1,0.530760558
u_m1,0.353365242
u_m1,0.720089713
u_m1,0.621045694
u_m1,0.510716639
u_m1,0.530353501
u_m1,0.765381458
u_m1,0.795846458
u_m1,0.494049121
u_m1,0.543085352
u_m1,0.553051618
u_m1,0.334131327
u_m1,0.645267486
u_m1,0.491666473
u_m1,0.495293804
u_m1,0.549785497
u_m1,0.501326369
u_m1,0.552230391
u_m1,0.606176878
u_m1,0.600632508
u_m1,0.502405722
u_m1,0.598675423
u_m1,0.451266611
u_m1,0.634706368
u_m1,0.600977565
u_m1,0.663272727
u_m1,0.501752057
u_m1,0.512352417
u_m1,0.67047396
u_m1,0.651779993
u_m1,0.538648508
u_m1,0.691333671
u_m1,0.500443233
u_m1,0.582061347
u_m1,0.658455857
u_m1,0.110127673
u_m1,0.474878938
u_m1,0.469413894
u_m1,0.000371698
u_m1,0.516648388
u_m1,0.690510085
u_m1,0.50139724
u_m1,0.500758309
u_m1,0.807126205
u_m1,0.553148639
u_m1,0.565907555
u_m1,0.53894415
u_m1,0.680735514
u_m1,0.758273927
u_m1,0.552066068
u_m1,0.374530862
u_m1,0.61877452
u_m1,0.47202009
u_m1,0.570282112
u_m1,0.789448722
u_m1,0.517339033
u_m1,0.784307925
u_m1,0.521183768
u_m1,0.503869029
u_m1,0.562178803
u_m1,0.520383575
u_m1,0.501106999
u_m1,0.500879302
u_m1,0.51770353
u_m1,0.522920948
u_m1,0.500783579
u_m1,0.615690617
u_m1,0.48133131
u_m1,0.500204481
u_m1,0.76316567
u_m1,0.563950373
u_m1,0.502181496
u_m1,0.484458459
u_m1,0.580943741
u_m1,0.530323286
u_m1,0.711647865
u_m1,0.714911856
u_m1,0.66758661
u_m1,0.544438375
u_m1,0.501169039
u_m1,0.690011333
u_m1,0.77568127
u_m1,0.4807203
u_m1,0.608019642
u_m1,0.738404608
u_m1,0.39131435
u_m1,0.567500141
u_m1,0.689524966
u_m1,0.679486753
u_m1,0.497685161
u_m1,0.50750636
u_m1,0.49720056
u_m1,0.522796088
u_m1,0.655818766
u_m1,0.755073149
u_m1,0.492282801
u_m1,0.503389177
u_m1,0.580495811
u_m1,0.534443868
u_m1,0.485383875
u_m1,0.747720706
u_m1,0.774888746
u_m1,0.450977447
u_m1,0.404356048
u_m1,0.522918766
u_m1,0.571987567
u_m1,0.70879179
u_m1,0.638900538
